1879,1880
1880,1884
1879,1884
1880,1887
1879,1892
1879,1895
1879,1899
1879,1899
1879,1903
1879,1905
1880,1907
1879,1909
1879,1914
1879,1917
1879,1920
1879,1922
1879,1923
1879,1926
1879,1927
1879,1935
1879,1936
1879,1939
1879,1942
1879,1943
1880,1945
1880,1948
1879,1952
1879,1956
1880,1957
1879,1961
1879,1962
1879,1964
1879,1966
1879,1969
1879,1972
1879,1975
1879,1980
1879,1981
1879,1982
1879,1985
1880,1988
1879,1991
1879,1994
1879,1996
1880,2000
1879,2003
1879,2002
1879,2006
1879,2010
1879,2012
1880,2014
1880,2017
1879,2020
1880,2021
1880,2022
1880,2029
1879,2030
1880,2032
1880,2036
1880,2038
1880,2038
1881,2041
1880,2043
1880,2047
1881,2053
1881,2053
1882,2055
1883,2057
1884,2058
1883,2059
1884,2065
1885,2067
1887,2069
1888,2071
1890,2071
1891,2074
1892,2075
1894,2077
1898,2080
1899,2081
1902,2083
1906,2084
1909,2085
1910,2084
1913,2087
1922,2090
1923,2090
1929,2091
1934,2092
1938,2092
1941,2092
1944,2092
1951,2094
1958,2096
1961,2095
1967,2096
1973,2097
1977,2096
1982,2096
1987,2095
1999,2100
1994,2099
2012,2100
2013,2096
2011,2098
2016,2096
2020,2100
2031,2098
2034,2106
2044,2101
2059,2095
2068,2106
2067,2104
2070,2107
2070,2095
2087,2107
2081,2097
2107,2095
2092,2095
2100,2106
2117,2104
2130,2108
2115,2106
2127,2102
2147,2109
2135,2107
2149,2094
2153,2093
2167,2099
2161,2108
2178,2097
2173,2110
2185,2104
2199,2110
2194,2098
2214,2096
2200,2109
2219,2104
2231,2095
2235,2096
2225,2101
2249,2108
2243,2108
2263,2095
2255,2108
2277,2111
2276,2110
2275,2106
2281,2099
2291,2106
2303,2107
2294,2095
2296,2107
2323,2094
2325,2104
2330,2108
2326,2092
2326,2101
2348,2091
2354,2092
2360,2108
2352,2097
2369,2107
2375,2099
2384,2088
2388,2090
2393,2094
2396,2098
2408,2100
2401,2104
2408,2100
2409,2095
2419,2088
2450,2075
2446,2087
2464,2085
2468,2077
2478,2076
2442,2095
2446,2097
2463,2096
2475,2086
2466,2092
2487,2094
2486,2092
2489,2096
2486,2096
2494,2090
2522,2080
1879,1804
1879,1801
1879,1798
1879,1793
1879,1794
1879,1792
1879,1789
1879,1787
1879,1782
1879,1778
1879,1775
1879,1774
1879,1772
1879,1769
1879,1767
1879,1761
1879,1759
1879,1754
1879,1753
1879,1753
1879,1750
1879,1746
1879,1744
1879,1740
1879,1735
1879,1733
1879,1732
1879,1729
1879,1728
1879,1724
1879,1721
1879,1717
1880,1713
1879,1711
1879,1711
1879,1707
1879,1703
1879,1700
1879,1698
1879,1694
1879,1694
1879,1690
1879,1687
1879,1685
1879,1681
1879,1678
1879,1674
1879,1670
1879,1670
1879,1668
1879,1663
1879,1662
1879,1658
1880,1655
1879,1652
1879,1650
1879,1647
1879,1645
1879,1642
1879,1638
1879,1635
1879,1631
1879,1629
1879,1629
1879,1624
1879,1622
1879,1619
1879,1614
1879,1611
1879,1610
1879,1607
1879,1606
1879,1601
1879,1598
1879,1595
1879,1591
1879,1587
1879,1587
1879,1584
1879,1582
1879,1581
1879,1575
1879,1570
1880,1568
1879,1566
1879,1564
1879,1562
1879,1558
1879,1553
1879,1550
1879,1548
1879,1544
1879,1543
1879,1539
1879,1537
1879,1534
1879,1532
1879,1525
1880,1523
1879,1521
1879,1519
1879,1517
1879,1512
1879,1510
1879,1505
1879,1502
1879,1501
1879,1499
1879,1495
1879,1493
1879,1489
1879,1485
1880,1482
1879,1481
1879,1478
1879,1476
1879,1472
1879,1470
1879,1465
1880,1462
1879,1462
1879,1458
1879,1455
1879,1454
1879,1448
1879,1443
1880,1442
1880,1438
1879,1436
1879,1435
1879,1431
1879,1428
1879,1426
1880,1420
1880,1418
1879,1416
1879,1412
1879,1411
1879,1408
1879,1404
1879,1401
1879,1397
1879,1395
1879,1395
1879,1391
1879,1387
1879,1385
1879,1380
1879,1376
1880,1373
1879,1371
1879,1369
1880,1367
1879,1363
1879,1360
1879,1356
1880,1354
1879,1354
1880,1350
1879,1346
1880,1343
1879,1340
1880,1335
1880,1332
1879,1330
1879,1328
1879,1326
1879,1323
1879,1317
1880,1316
1879,1314
1879,1308
1879,1307
1879,1305
1880,1302
1879,1299
1879,1295
1880,1292
1879,1287
1879,1286
1880,1285
1880,1281
1879,1277
1879,1275
1880,1271
1879,1266
1879,1265
1879,1264
1880,1260
1879,1257
1879,1253
1880,1251
